const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,4.799966597151846e-05,RDS,[],27407-2.0,,,,,,,,Thickness
0.0,0.08364790170204077,RDS,[],27408-2.0,,,,,,,,Thickness
0.0,0.7194526966067593,RDS,[],27409-2.0,,,,,,,,Thickness
0.0,0.2719590185360723,RDS,[],27410-2.0,,,,,,,,Thickness
0.0,0.005232696600282087,RDS,[],27411-2.0,,,,,,,,Thickness
0.0,0.5636262258257982,RDS,[],27412-2.0,,,,,,,,Thickness
0.0,0.06717916649343435,RDS,[],27413-2.0,,,,,,,,Thickness
0.0,0.44853412227371503,RDS,[],27414-2.0,,,,,,,,Thickness
0.0,0.0006068245603142837,RDS,[],27415-2.0,,,,,,,,Thickness
0.0,4.1970814798193495e-07,RDS,[],27416-2.0,,,,,,,,Thickness
0.0,4.360263014570145e-18,RDS,[],27417-2.0,,,,,,,,Thickness
0.0,4.071168129309127e-17,RDS,[],27418-2.0,,,,,,,,Thickness
0.0,6.050223595744931e-07,RDS,[],27419-2.0,,,,,,,,Thickness
0.0,0.0022528234566955396,RDS,[],27420-2.0,,,,,,,,Thickness
0.0,2.2351677674163548e-08,RDS,[],27421-2.0,,,,,,,,Thickness
0.0,6.060180312483318e-07,RDS,[],27422-2.0,,,,,,,,Thickness
0.0,0.0034303795430253377,RDS,[],27423-2.0,,,,,,,,Thickness
0.0,0.002811443433196511,RDS,[],27424-2.0,,,,,,,,Thickness
0.0,0.2961847955677983,RDS,[],27425-2.0,,,,,,,,Thickness
0.0,0.08370710347454545,RDS,[],27426-2.0,,,,,,,,Thickness
0.0,8.865591119002917e-17,RDS,[],27427-2.0,,,,,,,,Thickness
0.0,2.321135606669222e-08,RDS,[],27428-2.0,,,,,,,,Thickness
0.0,5.911565858206552e-18,RDS,[],27429-2.0,,,,,,,,Thickness
0.0,3.638477329166378e-19,RDS,[],27430-2.0,,,,,,,,Thickness
0.0,4.604366592671657e-10,RDS,[],27431-2.0,,,,,,,,Thickness
0.0,1.1982649626280052e-07,RDS,[],27432-2.0,,,,,,,,Thickness
0.0,0.0643968746221439,RDS,[],27433-2.0,,,,,,,,Thickness
0.0,0.020020559754920057,RDS,[],27434-2.0,,,,,,,,Thickness
0.0,0.2899893407037657,RDS,[],27435-2.0,,,,,,,,Thickness
0.0,1.2908586771704192e-05,RDS,[],27436-2.0,,,,,,,,Thickness
0.0,0.002299214644099767,RDS,[],27437-2.0,,,,,,,,Thickness
0.0,1.745464715553769e-06,RDS,[],27438-2.0,,,,,,,,Thickness
0.0,0.572978667706435,RDS,[],27439-2.0,,,,,,,,Thickness
0.0,0.0016649659497745056,RDS,[],27440-2.0,,,,,,,,Thickness
0.0,0.044132636747192755,RDS,[],27441-2.0,,,,,,,,Thickness
0.0,0.02426870772236776,RDS,[],27442-2.0,,,,,,,,Thickness
0.0,0.023953142730350614,RDS,[],27443-2.0,,,,,,,,Thickness
0.0,6.17030647294572e-05,RDS,[],27444-2.0,,,,,,,,Thickness
0.0,0.21690266021426607,RDS,[],27445-2.0,,,,,,,,Thickness
0.0,0.0024302520409417347,RDS,[],27446-2.0,,,,,,,,Thickness
0.0,0.25580986282493867,RDS,[],27447-2.0,,,,,,,,Thickness
0.0,2.9183771955357397e-06,RDS,[],27448-2.0,,,,,,,,Thickness
0.0,0.014081240808618127,RDS,[],27449-2.0,,,,,,,,Thickness
0.0,0.19651413831498876,RDS,[],27450-2.0,,,,,,,,Thickness
0.0,0.33109858477278886,RDS,[],27451-2.0,,,,,,,,Thickness
0.0,0.0716079728024774,RDS,[],27452-2.0,,,,,,,,Thickness
0.0,6.215453166801382e-05,RDS,[],27453-2.0,,,,,,,,Thickness
0.0,0.00012999223119059797,RDS,[],27454-2.0,,,,,,,,Thickness
0.0,2.1270387273506745e-05,RDS,[],27455-2.0,,,,,,,,Thickness
0.0,1.0725088934157415e-09,RDS,[],27456-2.0,,,,,,,,Thickness
0.0,1.2372963284409304e-08,RDS,[],27457-2.0,,,,,,,,Thickness
0.0,8.560210272468706e-13,RDS,[],27458-2.0,,,,,,,,Thickness
0.0,6.221723757477437e-11,RDS,[],27459-2.0,,,,,,,,Thickness
0.0,1.9447191266335236e-07,RDS,[],27460-2.0,,,,,,,,Thickness
0.0,0.0005633364996870041,RDS,[],27461-2.0,,,,,,,,Thickness
0.0,0.3458124800518544,RDS,[],27462-2.0,,,,,,,,Thickness
0.0,2.320738605619393e-05,RDS,[],27463-2.0,,,,,,,,Thickness
0.0,0.0003926175251664501,RDS,[],27464-2.0,,,,,,,,Thickness
0.0,2.6174665987671024e-10,RDS,[],27465-2.0,,,,,,,,Thickness
0.0,0.24193043312527218,RDS,[],27466-2.0,,,,,,,,Thickness
0.0,0.00010692422357967048,RDS,[],27467-2.0,,,,,,,,Thickness
0.0,0.9349443830449216,RDS,[],27468-2.0,,,,,,,,Thickness
0.0,1.7239126307261069e-12,RDS,[],27469-2.0,,,,,,,,Thickness
0.0,4.654263013098136e-06,RDS,[],27470-2.0,,,,,,,,Thickness
0.0,6.668017570854719e-07,RDS,[],27471-2.0,,,,,,,,Thickness
0.0,0.4480408179129737,RDS,[],27472-2.0,,,,,,,,Thickness
0.0,9.393359171194707e-05,RDS,[],27473-2.0,,,,,,,,Thickness
0.0,0.06723498931203564,RDS,[],27474-2.0,,,,,,,,Thickness
0.0,0.030553376921025048,RDS,[],27475-2.0,,,,,,,,Thickness
0.0,0.018952066613072745,RDS,[],27476-2.0,,,,,,,,Thickness
0.0,0.840113853628071,RDS,[],27625-2.0,,,,,,,,Thickness
0.0,0.03138920777664538,RDS,[],27626-2.0,,,,,,,,Thickness
0.0,2.80218504072568e-09,RDS,[],27627-2.0,,,,,,,,Thickness
0.0,4.113339799548977e-05,RDS,[],27628-2.0,,,,,,,,Thickness
0.0,1.1504608318993731e-11,RDS,[],27629-2.0,,,,,,,,Thickness
0.0,0.8927841556377704,RDS,[],27630-2.0,,,,,,,,Thickness
0.0,0.0006078164344025524,RDS,[],27631-2.0,,,,,,,,Thickness
0.0,0.005580058611788764,RDS,[],27632-2.0,,,,,,,,Thickness
0.0,1.438363680440935e-07,RDS,[],27633-2.0,,,,,,,,Thickness
0.0,0.8183979854105297,RDS,[],27634-2.0,,,,,,,,Thickness
0.0,0.46005598776909085,RDS,[],27635-2.0,,,,,,,,Thickness
0.0,0.03049518840816557,RDS,[],27636-2.0,,,,,,,,Thickness
0.0,2.9628889451496e-07,RDS,[],27637-2.0,,,,,,,,Thickness
0.0,8.684309372005488e-09,RDS,[],27638-2.0,,,,,,,,Thickness
0.0,2.1079518007970848e-17,RDS,[],27639-2.0,,,,,,,,Thickness
0.0,5.544419827173038e-19,RDS,[],27640-2.0,,,,,,,,Thickness
0.0,0.018039474915638336,RDS,[],27641-2.0,,,,,,,,Thickness
0.0,0.13109050117198295,RDS,[],27642-2.0,,,,,,,,Thickness
0.0,4.782462012636982e-08,RDS,[],27643-2.0,,,,,,,,Thickness
0.0,2.000456226239915e-09,RDS,[],27644-2.0,,,,,,,,Thickness
0.0,1.1208768445279438e-06,RDS,[],27645-2.0,,,,,,,,Thickness
0.0,0.021230783958914593,RDS,[],27646-2.0,,,,,,,,Thickness
0.0,0.5792560255295136,RDS,[],27647-2.0,,,,,,,,Thickness
0.0,0.000645551999557218,RDS,[],27648-2.0,,,,,,,,Thickness
0.0,2.7111485029223296e-17,RDS,[],27649-2.0,,,,,,,,Thickness
0.0,2.2116716656040254e-09,RDS,[],27650-2.0,,,,,,,,Thickness
0.0,8.977981870508139e-24,RDS,[],27651-2.0,,,,,,,,Thickness
0.0,8.767468937695097e-23,RDS,[],27652-2.0,,,,,,,,Thickness
0.0,2.967711297364092e-11,RDS,[],27653-2.0,,,,,,,,Thickness
0.0,4.568368529723837e-10,RDS,[],27654-2.0,,,,,,,,Thickness
0.0,0.8544013953817922,RDS,[],27655-2.0,,,,,,,,Thickness
0.0,0.6416617064903664,RDS,[],27656-2.0,,,,,,,,Thickness
0.0,0.40461151243416704,RDS,[],27657-2.0,,,,,,,,Thickness
0.0,3.4607643067134465e-08,RDS,[],27658-2.0,,,,,,,,Thickness
0.0,0.49902050551715416,RDS,[],27659-2.0,,,,,,,,Thickness
0.0,6.158060663509391e-06,RDS,[],27660-2.0,,,,,,,,Thickness
0.0,0.059654557204137364,RDS,[],27661-2.0,,,,,,,,Thickness
0.0,9.904415683879613e-06,RDS,[],27662-2.0,,,,,,,,Thickness
0.0,0.008284102096280088,RDS,[],27663-2.0,,,,,,,,Thickness
0.0,0.05229551348783368,RDS,[],27664-2.0,,,,,,,,Thickness
0.0,0.013811449010586665,RDS,[],27665-2.0,,,,,,,,Thickness
0.0,0.0004593375817982574,RDS,[],27666-2.0,,,,,,,,Thickness
0.0,0.25520670970351067,RDS,[],27667-2.0,,,,,,,,Thickness
0.0,0.0017487422491617556,RDS,[],27668-2.0,,,,,,,,Thickness
0.0,0.006236944625874215,RDS,[],27669-2.0,,,,,,,,Thickness
0.0,1.6273064275020292e-08,RDS,[],27670-2.0,,,,,,,,Thickness
0.0,0.00017126161623755285,RDS,[],27671-2.0,,,,,,,,Thickness
0.0,0.44742658289650084,RDS,[],27672-2.0,,,,,,,,Thickness
0.0,0.6515381231318015,RDS,[],27673-2.0,,,,,,,,Thickness
0.0,0.5738190348716741,RDS,[],27674-2.0,,,,,,,,Thickness
0.0,0.0015970148523899305,RDS,[],27675-2.0,,,,,,,,Thickness
0.0,1.754038666721044e-05,RDS,[],27676-2.0,,,,,,,,Thickness
0.0,1.876917444988485e-05,RDS,[],27677-2.0,,,,,,,,Thickness
0.0,1.8220733404873692e-10,RDS,[],27678-2.0,,,,,,,,Thickness
0.0,7.98463159011203e-08,RDS,[],27679-2.0,,,,,,,,Thickness
0.0,4.1757900644280795e-20,RDS,[],27680-2.0,,,,,,,,Thickness
0.0,4.930735842897208e-08,RDS,[],27681-2.0,,,,,,,,Thickness
