const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,0.0002904464837763991,RDS,[],27070-2.0,,,,,,,,Area
0.0,0.003047224868710808,RDS,[],27071-2.0,,,,,,,,Area
0.0,0.03126517887042986,RDS,[],27072-2.0,,,,,,,,Area
0.0,2.83240702083699e-15,RDS,[],27101-2.0,,,,,,,,Area
0.0,6.31539204127686e-11,RDS,[],27102-2.0,,,,,,,,Area
0.0,1.610659058024551e-22,RDS,[],27103-2.0,,,,,,,,Area
0.0,6.208722707316567e-14,RDS,[],27104-2.0,,,,,,,,Area
0.0,4.5374212561249277e-13,RDS,[],27105-2.0,,,,,,,,Area
0.0,9.89899151082807e-16,RDS,[],27106-2.0,,,,,,,,Area
0.0,2.7966012232561205e-09,RDS,[],27107-2.0,,,,,,,,Area
0.0,0.03073948780835326,RDS,[],27108-2.0,,,,,,,,Area
0.0,0.08110611324801097,RDS,[],27109-2.0,,,,,,,,Area
0.0,7.821597695523598e-06,RDS,[],27110-2.0,,,,,,,,Area
0.0,3.8409877497005835e-05,RDS,[],27111-2.0,,,,,,,,Area
0.0,9.705926330537246e-06,RDS,[],27112-2.0,,,,,,,,Area
0.0,1.129126106811357e-05,RDS,[],27113-2.0,,,,,,,,Area
0.0,0.00022057751546591495,RDS,[],27114-2.0,,,,,,,,Area
0.0,2.897294436892638e-06,RDS,[],27143-2.0,,,,,,,,Area
0.0,0.00031686865434641607,RDS,[],27144-2.0,,,,,,,,Area
0.0,6.024931282128919e-05,RDS,[],27145-2.0,,,,,,,,Area
0.0,1.8457257240031168e-06,RDS,[],27146-2.0,,,,,,,,Area
0.0,3.5666537144418585e-05,RDS,[],27147-2.0,,,,,,,,Area
0.0,4.60339099314421e-09,RDS,[],27148-2.0,,,,,,,,Area
0.0,8.393316365229648e-06,RDS,[],27149-2.0,,,,,,,,Area
0.0,1.0334372422465066e-05,RDS,[],27150-2.0,,,,,,,,Area
0.0,1.0006273488381834e-05,RDS,[],27151-2.0,,,,,,,,Area
0.0,1.696381609343328e-06,RDS,[],27152-2.0,,,,,,,,Area
0.0,0.009299627633621193,RDS,[],27153-2.0,,,,,,,,Area
0.0,1.3287133996536703e-10,RDS,[],27154-2.0,,,,,,,,Area
0.0,4.452766533313709e-05,RDS,[],27155-2.0,,,,,,,,Area
0.0,0.5895307041331019,RDS,[],27156-2.0,,,,,,,,Area
0.0,1.8951889553652213e-09,RDS,[],27157-2.0,,,,,,,,Area
